time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1620248400,1786.935,1818.13,1782.048,1815.08,64.45858850011331,58.19144695033354,NaN,NaN
1620334800,1815.08,1843.4,1812.91,1831.355,67.82366146756374,58.90851453046213,NaN,NaN
1620594000,1831.355,1845.54,1830.068,1835.69,68.67443031704553,59.5612757901015,NaN,NaN
1620680400,1835.69,1841.845,1818.022,1837.485,69.03947274140661,59.99826201559353,NaN,NaN
1620766800,1837.485,1843.716,1813.41,1815.55,59.859611340524694,60.023472727730635,NaN,NaN
1620853200,1815.55,1828.835,1808.866,1826.525,62.54322857632551,60.413266385165414,NaN,NaN
1620939600,1826.525,1846.296,1819.845,1843.165,66.22967338818509,60.98965716564196,NaN,NaN
1621198800,1843.165,1868.525,1842.02,1866.955,70.67355623625338,62.01062015000467,NaN,NaN
1621285200,1866.955,1875.04,1863.285,1869.5,71.11151193434821,62.957048764629484,NaN,NaN
1621371600,1869.5,1890.145,1852.23,1869.515,71.1142499919685,64.17571138408258,NaN,NaN
1621458000,1869.515,1883.985,1863.955,1877.04,72.52131340304337,65.49643130947504,NaN,NaN
1621544400,1877.04,1889.42,1870.19,1881.245,73.30388182078704,66.39233699899314,NaN,NaN
1621803600,1881.245,1887.07,1875.2,1880.68,73.00304261172622,67.68866244469103,NaN,NaN
1621890000,1880.68,1900.3,1872.755,1899.17,76.41440219624076,69.05504460896657,NaN,NaN
1621976400,1899.17,1912.785,1890.74,1896.68,75.03925772337647,69.81080669634251,NaN,NaN
1622062800,1896.68,1903.706,1888.315,1896.672,75.03458564715224,70.32587270917026,NaN,NaN
1622149200,1896.672,1906.12,1882.25,1903.456,76.37773252979909,70.87610858150978,NaN,NaN
1622408400,1903.456,1910.655,1902.19,1906.676,77.00996823268304,71.44542968802953,NaN,NaN
1622494800,1906.676,1916.615,1892.445,1900.24,72.81505060526521,72.37081820693957,NaN,NaN
1622581200,1900.24,1909.14,1894.455,1908.35,74.68625968337821,73.23817757172904,NaN,NaN
1622667600,1908.35,1909.69,1865.36,1870.545,55.506252502730284,72.47221893705371,NaN,NaN
1622754000,1870.545,1896.24,1856.04,1891.395,61.394649177513365,71.80943986142942,NaN,NaN
1623013200,1891.395,1900.196,1881.606,1899.14,63.33571956917847,71.25402612106015,NaN,NaN
1623099600,1899.14,1903.93,1883.785,1892.94,60.704427248262895,70.51046735365261,NaN,NaN
1623186000,1892.94,1899.076,1887.435,1888.685,58.8960092694231,69.5372313441083,NaN,NaN
1623272400,1888.685,1899.99,1869.945,1898.445,61.713479198028224,68.70934544248267,NaN,NaN
1623358800,1898.445,1903.12,1874.54,1877.82,53.385702269429366,67.30810684660433,NaN,NaN
1623618000,1877.82,1878.08,1844.63,1866.14,49.32630802321,65.37324297710214,NaN,NaN
1623704400,1866.14,1869.205,1851.665,1858.82,46.918439589431664,63.364613110391794,NaN,NaN
