time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1623877200,0.207,0.217,0.199,0.213,71.83814423620902,53.685435521247214,NaN,NaN
1623963600,0.213,0.282,0.208,0.256,79.34011167150915,55.89857915628181,NaN,NaN
1624222800,0.266,0.279,0.248,0.258,79.61215090262465,58.18185840595599,NaN,NaN
1624309200,0.256,0.259,0.228,0.232,67.2203994607267,59.580012552637456,NaN,NaN
1624395600,0.23,0.27,0.23,0.264,72.82649301995295,60.90137749670814,NaN,NaN
1624482000,0.264,0.274,0.254,0.27,73.73356907970444,62.691784652197946,NaN,NaN
1624568400,0.27,0.274,0.258,0.268,72.86049010411718,64.14323640601138,NaN,NaN
1624827600,0.264,0.266,0.254,0.256,67.6820637952327,65.29950311052856,NaN,NaN
1624914000,0.256,0.262,0.252,0.252,65.99822165404177,66.26278276929621,NaN,NaN
1625000400,0.252,0.254,0.245,0.251,65.55909939466744,67.57553049026525,NaN,NaN
1625086800,0.253,0.257,0.251,0.257,66.97875372909775,68.90894233114442,NaN,NaN
1625173200,0.257,0.267,0.236,0.238,58.723889076734636,69.20420342005892,NaN,NaN
1625432400,0.235596,0.235596,0.219778,0.227686,54.77721678947236,69.14834498950916,NaN,NaN
1625518800,0.227686,0.242,0.216,0.222,52.67542953609407,67.84471660358464,NaN,NaN
1625605200,0.222,0.228,0.216,0.216,50.474578875766895,66.31874764926734,NaN,NaN
1625691600,0.218,0.22,0.19,0.196,43.891535828955426,63.786706517656356,NaN,NaN
1625778000,0.196,0.217,0.196,0.217,51.10280808397169,61.750324887752576,NaN,NaN
1626037200,0.213,0.237,0.207,0.229,54.68670713944923,60.85506115051847,NaN,NaN
1626123600,0.229,0.267,0.227,0.255,61.30444701688255,60.03205786458488,NaN,NaN
1626210000,0.255,0.259,0.225,0.227,52.424895877880274,58.5100097787403,NaN,NaN
1626296400,0.227,0.233,0.217,0.227,52.42489587788028,57.05032447686624,NaN,NaN
1626382800,0.229,0.246,0.221,0.226,52.11225179867499,55.938195048540685,NaN,NaN
1626642000,0.22,0.224,0.189,0.218,49.565610587385514,54.76443711520808,NaN,NaN
1626728400,0.218,0.22,0.189,0.202,44.845408559418,53.28488776983313,NaN,NaN
1626814800,0.204,0.21,0.198,0.21,47.53569627093914,51.89609795139322,NaN,NaN
1626901200,0.21,0.228,0.2,0.202,45.163299095953825,50.92748438133746,NaN,NaN
1626987600,0.202,0.22,0.194,0.2,44.56449981911441,50.19800459774046,NaN,NaN
1627246800,0.2,0.204,0.192,0.198,43.93714658557733,49.573841529846405,NaN,NaN
1627333200,0.198,0.215,0.198,0.207,47.51756882768495,49.36262652641198,NaN,NaN
1627419600,0.207,0.225,0.199,0.203,46.10815364622761,49.52095637050285,NaN,NaN
1627506000,0.205,0.217,0.199,0.207,47.77631080730333,49.283349422169394,NaN,NaN
1627592400,0.203,0.206,0.188,0.188,41.24547839535654,48.323261654734196,NaN,NaN
1627851600,0.184,0.186,0.172,0.176,37.73687566126757,46.639863700761694,NaN,NaN
1627938000,0.176,0.182,0.168,0.172,36.61866460139349,45.51084718101264,NaN,NaN
1628024400,0.172,0.194,0.16,0.184,42.15624748915848,44.77737229610394,NaN,NaN
1628110800,0.182,0.208,0.182,0.202,49.31033456538865,44.5772353508692,NaN,NaN
1628197200,0.202,0.226,0.202,0.212,52.8027555159254,44.808459988622054,NaN,NaN
1628456400,0.212,0.224,0.2,0.222,56.06280485185934,45.60970258093929,NaN,NaN
1628542800,0.222,0.24,0.218,0.24,61.25109390364781,46.58937384041848,NaN,NaN
1628629200,0.242,0.246,0.215,0.221,54.00223938893698,47.220726718488706,NaN,NaN
1628715600,0.223,0.229,0.219,0.227,55.7819029786029,48.02196980130931,NaN,NaN
1628802000,0.227,0.229,0.209,0.209,49.583949891905405,48.42531289461846,NaN,NaN
1629061200,0.209,0.213,0.197,0.211,50.245450023746024,48.62016155147996,NaN,NaN
1629147600,0.213,0.217,0.199,0.217,52.268792849217164,49.06020720883636,NaN,NaN
